ds,y
2016/5/1,676
2016/6/1,375
2016/7/1,439
2016/8/1,801
2016/9/1,417
2016/10/1,126
2016/11/1,250
2016/12/1,465
2017/1/1,736
2017/2/1,783
2017/3/1,710
2017/4/1,304
2017/5/1,386
2017/6/1,478
2017/7/1,579
2017/8/1,1100
2017/9/1,1193
2017/10/1,982
2017/11/1,1396
2017/12/1,1165
2018/1/1,878
2018/2/1,836
2018/3/1,1928
2018/4/1,1897
2018/5/1,2701
2018/6/1,2009
2018/7/1,1977
2018/8/1,1874
2018/9/1,1244
2018/10/1,1100
2018/11/1,1652
2018/12/1,1884
2019/1/1,1713
2019/2/1,2100
2019/3/1,2352
2019/4/1,2388
2019/5/1,3327
2019/6/1,3788
2019/7/1,4322
2019/8/1,5577
2019/9/1,6218
2019/10/1,8034
2019/11/1,7760
2019/12/1,8208
2020/1/1,6653
2020/2/1,7630
2020/3/1,9671
2020/4/1,11645
2020/5/1,14245
2020/6/1,16811
2020/7/1,16767
2020/8/1,20814
2020/9/1,28575
2020/10/1,28727
2020/11/1,30967
2020/12/1,32171
2021/1/1,43972
2021/2/1,30949
2021/3/1,43423
2021/4/1,44307
2021/5/1,35016
2021/6/1,30560
2021/7/1,34787
2021/8/1,53177
2021/9/1,49953
2021/10/1,48740
2021/11/1,48461
